date,close,long_target_raw,short_target_raw,trend_strength,bear_strength,trend_floor,short_trend_floor,target_weight,applied_weight,strategy_return,equity,turnover,cost,long_gross_ref,trend_floor_gross_ref,short_gross_ref,short_floor_gross_ref,signal_side,entry_tag,exit_reason
2021-08-01,39845.44,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,flat,base_signal,dual_trendfloor_combo
2021-08-02,39147.82,0.1883900895102619,0.0,0.0,0.0,0.0,0.0,0.35,0.0,-0.00035,9996.5,0.35,0.00035,-0.0,-0.0,-0.0,0.0,flat,base_signal,dual_trendfloor_combo
2021-08-03,38207.05,0.1756135894375311,0.0,0.0,0.0,0.0,0.0,0.35,0.35,-0.00841092811809187,9912.420157067496,0.0,0.0,-0.00841092811809187,-0.0,-0.0,-0.0,long,base_signal,dual_trendfloor_combo
2021-08-04,39723.18,0.1918386407467304,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.013888680230480965,10050.09059093918,0.0,0.0,0.013888680230480965,0.0,0.0,0.0,long,base_signal,dual_trendfloor_combo
2021-08-05,40862.46,0.1648989642510621,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.010038169149599796,10150.97510025983,0.0,0.0,0.010038169149599796,0.0,0.0,0.0,long,base_signal,dual_trendfloor_combo
2021-08-06,42836.87,0.1662429625202834,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.01691145124400245,10322.642820746956,0.0,0.0,0.01691145124400245,0.0,0.0,0.0,long,base_signal,dual_trendfloor_combo
2021-08-07,44572.54,0.1607003535501711,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.014181346582978604,10469.031796240264,0.0,0.0,0.014181346582978604,0.0,0.0,0.0,long,base_signal,dual_trendfloor_combo
2021-08-08,43794.37,0.1620237978706353,0.0,0.0,0.0,0.0,0.0,0.35,0.35,-0.006110477437453615,10405.061013657352,0.0,0.0,-0.006110477437453615,-0.0,-0.0,-0.0,long,base_signal,dual_trendfloor_combo
2021-08-09,46253.4,0.1638969387399669,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.019652309189514525,10609.544489833508,0.0,0.0,0.019652309189514525,0.0,0.0,0.0,long,base_signal,dual_trendfloor_combo
2021-08-10,45584.99,0.1660016400795876,0.0,0.0,0.0,0.0,0.0,0.35,0.35,-0.005057866016336121,10555.882835309574,0.0,0.0,-0.005057866016336121,-0.0,-0.0,-0.0,long,base_signal,dual_trendfloor_combo
2021-08-11,45511.0,0.1761849061985045,0.0,0.0,0.0,0.0,0.0,0.35,0.35,-0.0005680926989344525,10549.886115340027,0.0,0.0,-0.0005680926989344525,-0.0,-0.0,-0.0,long,base_signal,dual_trendfloor_combo
2021-08-12,44399.0,0.1812900404290991,0.0,0.0,0.0,0.0,0.0,0.35,0.35,-0.008551778690865958,10459.665824067799,0.0,0.0,-0.008551778690865958,-0.0,-0.0,-0.0,long,base_signal,dual_trendfloor_combo
2021-08-13,47800.0,0.1810398745461666,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.026810288520011716,10740.092482633963,0.0,0.0,0.026810288520011716,0.0,0.0,0.0,long,base_signal,dual_trendfloor_combo
2021-08-14,47068.51,0.1696359118483777,0.0,0.0,0.0,0.0,0.0,0.35,0.35,-0.005356098326359832,10682.567491262778,0.0,0.0,-0.005356098326359832,-0.0,-0.0,-0.0,long,base_signal,dual_trendfloor_combo
2021-08-15,46973.82,0.1619687531575966,0.0,0.0,0.0,0.0,0.0,0.35,0.35,-0.000704111942358071,10675.045767917132,0.0,0.0,-0.000704111942358071,-0.0,-0.0,-0.0,long,base_signal,dual_trendfloor_combo
2021-08-16,45901.29,0.1713245718328422,0.0,0.0,0.0,0.0,0.0,0.35,0.35,-0.007991376898876844,10589.737453772947,0.0,0.0,-0.007991376898876844,-0.0,-0.0,-0.0,long,base_signal,dual_trendfloor_combo
2021-08-17,44695.95,0.1629158311336088,0.0,0.0,0.0,0.0,0.0,0.35,0.35,-0.00919078744845737,10492.409427700351,0.0,0.0,-0.00919078744845737,-0.0,-0.0,-0.0,long,base_signal,dual_trendfloor_combo
2021-08-18,44705.29,0.1708427248018461,0.0,0.0,0.0,0.0,0.0,0.35,0.35,7.313861770479323e-05,10493.176828022286,0.0,0.0,7.313861770479323e-05,0.0,0.0,0.0,long,base_signal,dual_trendfloor_combo
2021-08-19,46760.62,0.1606847515086744,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.01609128360424461,10662.02551227148,0.0,0.0,0.01609128360424461,0.0,0.0,0.0,long,base_signal,dual_trendfloor_combo
2021-08-20,49322.47,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.35,0.018825269703438455,10862.741018124932,0.35,0.00035,0.019175269703438455,0.0,0.0,0.0,long,base_signal,dual_trendfloor_combo
2021-08-21,48821.87,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,10862.741018124932,0.0,0.0,-0.0,-0.0,-0.0,0.0,flat,base_signal,dual_trendfloor_combo
2021-08-22,49239.22,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,10862.741018124932,0.0,0.0,0.0,0.0,0.0,-0.0,flat,base_signal,dual_trendfloor_combo
2021-08-23,49488.85,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,10862.741018124932,0.0,0.0,0.0,0.0,0.0,-0.0,flat,base_signal,dual_trendfloor_combo
2021-08-24,47674.01,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,10862.741018124932,0.0,0.0,-0.0,-0.0,-0.0,0.0,flat,base_signal,dual_trendfloor_combo
2021-08-25,48973.32,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,10862.741018124932,0.0,0.0,0.0,0.0,0.0,-0.0,flat,base_signal,dual_trendfloor_combo
2021-08-26,46843.87,0.0969799520589358,0.0,0.0,0.0,0.0,0.0,0.24244988014733948,0.0,-0.00024244988014733947,10860.107347867017,0.24244988014733948,0.00024244988014733947,-0.0,-0.0,-0.0,0.0,flat,base_signal,dual_trendfloor_combo
2021-08-27,49069.9,0.1389469527482775,0.0,0.0,0.0,0.0,0.0,0.34736738187069377,0.24244988014733948,0.011416348924478851,10984.090122707565,0.10491750172335429,0.0001049175017233543,0.011521266426202206,0.0,0.0,0.0,long,base_signal,dual_trendfloor_combo
2021-08-28,48895.35,0.1794730768725475,0.0,0.0,0.0,0.0,0.0,0.35,0.34736738187069377,-0.0012382776164995902,10970.488769771,0.002632618129306208,2.632618129306208e-06,-0.001235644998370284,-0.0,-0.0,-0.0,long,base_signal,dual_trendfloor_combo
2021-08-29,48767.83,0.1474157371720579,0.0,0.0,0.0,0.0,0.0,0.35,0.35,-0.000912806637031932,10960.47483481047,0.0,0.0,-0.000912806637031932,-0.0,-0.0,-0.0,long,base_signal,dual_trendfloor_combo
2021-08-30,46982.91,0.1464892941520705,0.0,0.0,0.0,0.0,0.0,0.35,0.35,-0.012810125035294778,10820.069781730346,0.0,0.0,-0.012810125035294778,-0.0,-0.0,-0.0,long,base_signal,dual_trendfloor_combo
2021-08-31,47100.89,0.0923010118920737,0.0,0.0,0.0,0.0,0.0,0.23075252973018423,0.35,0.0007596465786513369,10828.289210720804,0.11924747026981575,0.00011924747026981576,0.0008788940489211527,0.0,0.0,0.0,long,base_signal,dual_trendfloor_combo
2021-09-01,48810.52,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.23075252973018423,0.00814491611268007,10916.484717985966,0.23075252973018423,0.00023075252973018423,0.008375668642410255,0.0,0.0,0.0,long,base_signal,dual_trendfloor_combo
2021-09-02,49246.64,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,10916.484717985966,0.0,0.0,0.0,0.0,0.0,-0.0,flat,base_signal,dual_trendfloor_combo
2021-09-03,49999.14,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,10916.484717985966,0.0,0.0,0.0,0.0,0.0,-0.0,flat,base_signal,dual_trendfloor_combo
2021-09-04,49915.64,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,10916.484717985966,0.0,0.0,-0.0,-0.0,-0.0,0.0,flat,base_signal,dual_trendfloor_combo
