source_rank,weight_scale,timeframe,fast_days,mid_days,slow_days,long_days,bear_on,ret_slow_max,ret_mid_max,short_sma_mult,fast_sma_mult,rebound_ret_max,short_target_vol,short_cap,max_short,short_base,short_conf,trend_on,ret_slow_min,ret_mid_min,long_sma_mult,long_target_vol,long_cap,max_long,vol_ceiling,vol_floor_q,vol_floor_min,transaction_cost_bps,pass_target,score,max_abs_weight,train_annual_return,train_total_return,train_sharpe,train_max_drawdown,train_avg_abs_exposure,train_avg_turnover,validation_annual_return,validation_total_return,validation_sharpe,validation_max_drawdown,validation_avg_abs_exposure,validation_avg_turnover,locked_test_annual_return,locked_test_total_return,locked_test_sharpe,locked_test_max_drawdown,locked_test_avg_abs_exposure,locked_test_avg_turnover
2,1.4,4h,3.0,10.0,30.0,90.0,0.8,-0.08,0.01,0.98,1.0,0.08,0.9,0.85,0.85,0.35,1.0,0.68,0.08,0.01,1.04,0.06,0.0,0.0,0.45,0.5,0.15,6.0,True,1.342933774416252,1.19,-0.03547139497238938,-0.16537840851784025,-0.453991351214091,-0.23369003885271245,0.02225415070242656,0.00781609195402299,0.21769911152580068,0.19749841976425464,1.738425410901753,-0.0397908030889399,0.03978542914171656,0.010688622754491017,0.7276858643017048,0.21682209046501066,3.795895466267192,-0.025583190847191406,0.04541984732824427,0.012111959287531806
20,2.0,4h,3.0,10.0,30.0,90.0,0.5,-0.08,0.01,1.0,1.02,0.0,0.18,1.0,1.0,0.45,0.75,0.62,0.0,0.02,1.0,0.03,0.0,0.0,0.45,0.1,0.35,6.0,True,1.237786449289922,1.2342857142857144,-0.03932858311398035,-0.18195185175094897,-0.5136986754399118,-0.26270184436684396,0.022352311915132997,0.008815635293788303,0.2021015780869051,0.18345471287525683,1.6961914813722734,-0.04567180493215928,0.040308021742234725,0.010457895079499898,0.6972133834962664,0.2090753169752606,3.7901933820561813,-0.025659589763001533,0.04107766621993251,0.008310621938702719
2,1.3,4h,3.0,10.0,30.0,90.0,0.8,-0.08,0.01,0.98,1.0,0.08,0.9,0.85,0.85,0.35,1.0,0.68,0.08,0.01,1.04,0.06,0.0,0.0,0.45,0.5,0.15,6.0,True,1.218326070622755,1.105,-0.032803671555212244,-0.1537594647744741,-0.45399135121409095,-0.2186151657893105,0.0206645685093961,0.007257799671592775,0.20122159595680333,0.1826619351566776,1.7384254109017534,-0.036983420713379456,0.036943612774451094,0.009925149700598802,0.6626857544327165,0.2001891036589727,3.795895466267191,-0.023755820072392186,0.042175572519083965,0.011246819338422392
4,1.6,4h,3.0,10.0,30.0,90.0,0.56,-0.08,0.01,1.02,1.0,0.0,0.7,0.7,0.7,0.65,1.0,0.68,0.08,0.0,1.02,0.16,0.1,0.1,0.45,0.1,0.2,6.0,True,1.2085371416716315,1.1199999999999999,-0.015598561208346129,-0.07567694291669103,-0.15130335224491773,-0.227115770621086,0.03783251231527094,0.012756796205072068,0.2023940950297498,0.18371823107628016,1.6839793160904963,-0.039580763782482875,0.06802395209580837,0.013572854291417165,0.6341999212406342,0.1927683525908801,3.578734678184053,-0.02407829726794486,0.06697201017811706,0.01262086513994911
0,2.0,4h,5.0,15.0,45.0,120.0,0.74,-0.05,0.01,0.98,1.04,0.04,0.7,1.0,1.0,0.35,1.0,0.68,0.0,0.02,1.02,0.1,0.1,0.1,0.45,0.5,0.25,6.0,False,4.226153127248892,2.0,-0.04530179946542301,-0.2070967513923817,-0.2864411201338743,-0.3872737109654415,0.06610785164148711,0.013676261026701554,0.11994726255592703,0.10922372125789637,0.6091905204139189,-0.11765431578207797,0.17085604273050295,0.033528452726474964,3.3906634305086047,0.7006177606132775,3.6052532830282717,-0.04299695940704451,0.11170483460559796,0.04071246819338423
0,1.75,4h,5.0,15.0,45.0,120.0,0.74,-0.05,0.01,0.98,1.04,0.04,0.7,1.0,1.0,0.35,1.0,0.68,0.0,0.02,1.02,0.1,0.1,0.1,0.45,0.5,0.25,6.0,False,3.098132634765629,1.75,-0.0388294853754384,-0.17982230510190877,-0.2864411201338741,-0.346282952399659,0.0578443701863012,0.011966728398363859,0.107214046525,0.09767792777140794,0.6091905204139189,-0.103521883781442,0.14949903738919007,0.02933739613566559,2.682220034762029,0.5965374526271912,3.605253283028273,-0.03762233948116389,0.09774173027989823,0.035623409669211195
13,2.0,4h,5.0,15.0,45.0,120.0,0.68,0.0,0.03,1.04,1.02,0.04,0.5,1.0,1.0,0.55,0.35,0.86,0.04,0.0,1.02,0.16,0.1,0.1,0.45,0.2,0.35,6.0,False,2.89025433076848,2.0,-0.11653345662990744,-0.4621567915500059,-0.6008412226609187,-0.5411591101104274,0.12534032574446008,0.030276005382814945,0.07375058757822073,0.06728090872072179,0.3819569919454364,-0.26246615031188536,0.29694483812501127,0.05956884802946827,4.502803352155331,0.8441601730057642,3.831553079523538,-0.12136199461159047,0.2714102599074326,0.07023669543540774
5,2.0,4h,2.0,7.0,21.0,60.0,0.62,0.05,0.0,1.06,1.0,0.12,0.5,1.0,1.0,0.35,0.75,0.86,0.0,0.01,1.04,0.06,0.0,0.0,0.45,0.2,0.2,6.0,False,2.7508806145363898,2.0,-0.10359229733438424,-0.4215475630316542,-0.43389741039652985,-0.46208131836922617,0.12409606726856287,0.05273748156404003,0.0848812575679243,0.07740042438883532,0.4142942780600828,-0.1902302023340533,0.2732904360455357,0.09777144750071036,4.042864186117624,0.7872847946546782,3.4510186714736997,-0.15440457372078964,0.3317735019098167,0.0924374219162682
1,2.0,4h,3.0,10.0,30.0,90.0,0.56,-0.08,-0.04,0.98,1.0,0.08,0.35,1.0,1.0,0.65,0.55,0.68,0.0,0.0,1.02,0.16,0.1,0.1,0.45,0.1,0.2,6.0,False,2.59065727123709,2.0,0.006577253793190518,0.033358845731547904,0.11850664896088327,-0.11132445932422541,0.04446177695309825,0.012086559160997882,0.29245666008941584,0.2646002432295065,1.571393917250019,-0.06606322044310409,0.0873794623116896,0.015122097715717223,1.4491280563073161,0.3791700697378426,3.7466962008700553,-0.04299695940704451,0.11054327566256623,0.020051751451938785
0,1.6,4h,5.0,15.0,45.0,120.0,0.74,-0.05,0.01,0.98,1.04,0.04,0.7,1.0,1.0,0.35,1.0,0.68,0.0,0.02,1.02,0.1,0.1,0.1,0.45,0.5,0.25,6.0,False,2.5079559092339827,1.6,-0.03505352277749563,-0.1635668995697075,-0.2864411201338743,-0.3207173712209741,0.05288628131318968,0.010941008821361243,0.09923900270813735,0.09044085081937991,0.6091905204139189,-0.09496496235718532,0.1366848341844024,0.02682276218117997,2.3094358612973225,0.536532799458808,3.605253283028273,-0.03439756752563561,0.08936386768447838,0.03256997455470738
